"company","website","place of business","primary contact","servicing markets","supported languages"	
"Resources Connection LLC","www.accretivesolutions.com","USA","Maria Martindale mmartindale@accretivesolutions.com T- 1-214-739-1553","USA","English"
"Richard S. Carson & Associates","www.carsoninc.com","USA","Donna Ruginski RuginskiDL@CARSONINC.COM T: 301-841-0080","USA","English"
"Richter Advisory Group Inc.","www.rnankrimpen@richter.ca","Canada","Raymond Vankrimpen rvankrimpen@richter.ca T- 416-642-4833","Canada","English, French"
"Right Time Limited","www.righttime.biz","Bangladesh","Mohammad Tohidur Rahman Bhuiyan ceo.tohid@righttime.biz T-88-01714003040","Bangladesh","Bengali, English"
"Risk Associates Europe Ltd.","www.risk-associates.com","Australia, Pakistan, Saudi Arabia, UAE, Vietnam","Dr. Aftab Rizvi aftab.rizvi@risk-associates.com T: +61-417-023-037","Australia, CEMEA","English, Mandarin, Urdu, Vietnamese"
"Risk-X LLP (fka Pentest Partners Consulting LLP)","www.risk-x.co.uk","UK, South Africa, UAE","Steve Marshall steve.marshall@risk-x.co.uk  T-44-7770-352438","CEMEA, Europe","English, Spanish"
"RiskSense Inc.","www.risksense.com","USA","Mark Fidel mfidel@risksense.com 505-217-9422","USA","English"
"Rivington Information Security Ltd","www.rivingtoninformationsecurity.com","UK","David Ward dave.ward@rivingtoninformationsecurity.com T - +44 7872 587953","Europe","English"
"Rock Pte. Ltd.","www.rocksolutions.com.sg","Asia Pacific","Gwendyln Chong Shu Ling  gwen.chong@rocksolutions.com.sg T- 65 8147 0539","CEMEA, Asia Pacific","English, Chinese (Mandarin)"
"ROIS Co., Ltd.","www.rois.co.kr","Korea","Philhyuk Choi philhyuk.choi@rois.co.kr T: +82 2 780 1070","Korea","English, Korean, Japanese"
"RSI Systems Inc.","www.rsisecurity.com","USA","Rayna Kim (Korea, Asia) rayna@rsisecurity.com T: +1-858-999-3030  Dana Genyn (USA) pci@rsisecurity.com T: +1-858-999-3030","USA","English, Korean, Spanish"
"RSM US LLP","www.rsmmcgladrey.com","USA","Alan Gutierrez RSMPCIDSSSPOC@rsmus.com T +1 215-494-6622","Asia Pacific, Canada, Europe, LAC, USA","English, Portuguese, Spanish, Arabic, Hebrew"
"S21SEC Gestion, S.A.","www.s21sec.com","Mexico, Spain, Portugal","Fernando Postigo (Spain)  pci@s21sec.com  T- +34 902 222 521  Miguel Angel Hurtado Quiroz (Mexico)  mhurtado@s21sec.com  T- +52 (55) 4744 0736","LAC, Europe","English, Spanish, Portuguese"
"SC2Labs","www.sc2labs.com","Poland","Grzegorz Lendecki greg.landecki@sc2labs.com T-48-666-383-015","CEMEA, Europe","English, German, Polish"
"Schellman & Company, LLC","www.schellmanco.com/","USA","Jacob Ansari pci@BrightLine.com T: +1-866-254-0000 x139","Asia Pacific, CEMEA, Canada, Europe, LAC, USA","English"
"SD7 Technology Group, LLC","sd7.net","USA","Sherrie Nuttall sherrie@sd7.net T: +1-801-201-0944","USA","English"
"Sec-1 Ltd.","www.sec-1.com/article/77/The-Sec-1-QSA-Solution-for-PCI-DSS","UK","Matt Hawnt matth@sec-1.com T- 01924 284 240","Europe","English"
"Secure Logic Pty Ltd","www.sec-logic.com","Australia, China, Indonesia, Malaysia, Singapore, Thailand, Vietnam","General Enquiry (Australia, New Zealand, Asia) enquiry@securelogicgroup.com  Santosh Devraj (Australia &amp; New Zealand) SantoshD@securelogicgroup.com T-+61 2 90072111  Manju Devaraj (ASIA, Southeast Asia &amp; Northern Asia) manjud@securelogicgroup.com T- +91-9741630142","Asia Pacific","English, Bahasa Malaysia, Chinese, Hindi, Thai, Vietnamese"
"Secure Pro Inc.","secure-pro.co.jp/","Japan","Takayuki Okochi okochi@secure-pro.co.jp T- +81-90-8450-3187","Japan","English, Japanese"
"Secure Systems Innovation Corporation","securesystemscorp.com/","USA, Brazil","Kyle Ferguson kferguson@securesystemscorp.com T: +1-847-975-0115","LAC, USA","English, Portuguese, Spanish"
"Secure Technology Group","www.securetechnologygroup.com","USA","Todd Adelman T-617-448-4688 PCIadmin@securetechgroup.com","USA","English"
"Secured Net Solutions Inc.","www.securednet.ca","Canada","Steve Porter sporter@securednet.ca T-403-714-1801","USA, Canada","English"
"SecureWorks, Inc.","www.secureworks.com","USA","PCI Services pci@secureworks.com T-877-905-6661","Asia Pacific, Canada, Europe, USA","English"
"SecuriCentrix","www.securicentrix.com","Ireland, South Africa, France, Germany, India, Italy, Netherlands, Portugal, Spain, UK","David Steele David.steele@securicentrix.com +27 21 300 2785 (S. Africa) +353 1 901 0347 (Ireland)","Europe, CEMEA","English"
"Securious Limited","www.securious.co.uk","UK","Peter Woodward Pete@securious.co.uk T-+44 (0) 1392 247110","Europe","English"
"Securisea, Inc.","www.securisea.com","USA","Josh Daymont joshd@securisea.com T- 415-494-8215","Asia Pacific, USA","English"
"Security Centric Pty Ltd","www.securitycentric.com.au","Australia","Sasho Vasilevski Sash.Vasilevski@securitycentric.com.au T-61-2-91990011","Australia","English"
"Security Management Partners","www.smpone.com","USA","Peter Bamber  pbamber@smpone.com T-1-781-890-7671 X219","USA","English"
"Security Risk Advisors","www.securityriskadvisors.com","USA","Carl Angeloff carl.angeloff@securityriskadvisors.com T-+4129743333","USA","English"
"Security Risk Management","www.srm-solutions.com","Europe, UK","Brian Fenwick Brian.Fenwick@srm-solutions.com T- +44 (0)3450 21 21 51","Europe","English, Greek, French, Persian, Turkish, Azeri, Shona, Arabic, Dutch, Italian"
"Security Validation LLC","www.securityval.com","USA","David Durko david.durko@securityval.com T- 888-987-1335 x810","USA","English, Spanish"
"SecurityMetrics, Inc.","www.securitymetrics.com","Europe, USA","Jason Leland sales@securitymetrics.com T: +1-801-705-5656 Ian Eyles (Europe) ieyles@securitymetrics.com T: +44 (0) 7912 757951","Asia Pacific, CEMEA, Canada, Europe, LAC, USA","English, Spanish"
"Sense of Security Pty Ltd.","www.senseofsecurity.com.au","Australia","Murray Goldschmidt info@senseofsecurity.com.au T- 61-2-9290-4442","Australia","English"
"Sentek Consulting, Inc., dba Sentek Global","sentekglobal.com/","USA","Eric Basu ebasu@sentekglobal.com T: +1-619-543-9550","USA","English"
"Sentor Managed Security Services","www.sentor.se","Sweden","Mathias Elvang mathias.elvang@sentor.se T-+46707573033","Europe","English, French, Hebrew, Italian, Swedish"
"Sera-Brynn","www.sera-brynn.com","USA","Darek Dabbs darek.dabbs@sera-brynn.com T-855-514-6048","USA","English"
"Shearwater Solutions Pty Ltd","www.Shearwater.com.au","Australia","Damian Fawkner dfawkner@shearwater.com.au +61 (0) 412 626 803","New Zealand, Australia","English"
"SIA Grupo","www.sia.es","Spain, Portugal","Javier Jarauta +34 902 480 580 PCI-DSS@sia.es","Europe","English, Portuguese, Spanish, Catalan"
"Sikich LLP","www.403labs.com","USA","Brad Lutgen (USA and Europe) brad.lutgen@sikich.com T: +1-877-403-5227  Juan Pablo Cevasco (LAC) jcevasco@403labs.com +52 55 53514042","Europe, LAC, USA","English, French, Spanish"
"Silent Storm Security, LLC","www.silentstormsecurity.com","USA","Scott Pierangelo spierangelo@silentstormsecurity.com","USA","English, Spanish"
"Sirius Computer Solutions, Inc.","www.siriuscom.com","USA","Chris Hoke chris.hoke@siriuscom.com T: 402-431-6036.","USA","English"
"SISA","www.sisainfosec.com","Bahrain, Kuwait, Oman, Qatar, Saudi Arabia, UAE, India, Philippines, Japan, Australia, New Zealand, South Africa, Asia, Hong Kong, Singapore, Malaysia, Indonesia, Egypt, Thailand, South Korea, Vietnam, Abu-Dhabi, Asia Pacific, Dubai, USA, Central Europe, Middle East, Azerbaijan, Morocco, Nepal, Sri Lanka, UK, CEMEA, Bosnia-Herzegovina, Ethiopia, Georgia, Kenya, Mauritius, Myanmar, Tanzania, Uganda","Addy (USA and Canada) qsa@sisainfosec.com  T:+1-209-497-4604   Harvey (Europe) qsa@sisainfosec.com  T: +44-20-3874-1591  Yogesh (GCC and Middle East) qsa@sisainfosec.com  T: +973-3233-3856  Nitin (India, Sri Lanka, Africa, Nepal and Bangladesh) qsa@sisainfosec.com  T: +91-98208-85922   Kevin (Asia Pacific) qsa@sisainfosec.com T: +65 3163 1024","CEMEA, Canada, Europe, LAC, USA, Asia Pacific","English, Chinese, Japanese, Arabic, Bahasa Malaysia, Spanish, French, Russian"
"Sistemas Aplicativos, S.A.","www.sisap.com","Guatemala","Mauricio Nanne mauricio.nanne@sisap.com T-502-2410-4300","LAC","English, Spanish"
"Skoda Minotti Risk Advisory Services, LLC","www.assuranceconcepts.com","USA","Benjamin Osbrach osbrach@assuranceconcepts.com T-813-924-5404","USA","English"
"Slovenian Institute of Quality and Metrology, Ljubljana dba SIQ Ljubljana","www.siq.si/","Slovenia","Miha Ozimek miha.ozimek@siq.si T: +386 5 1674 396","Europe","Croatian, English, German, Italian, Serbian, Slovenian, Spanish"
"Sovereign Secure Ltd.","www.sovereignsecure.co.uk","UK","Paul Johnson pci@sovereignsecure.co.uk T-+44 (0) 161 298 9111","APAC, CEMEA","Arabic, English, Hindi, Urdu"
"Specialized Security Services, Inc.","www.s3security.com","USA","Steven Roth SVP, Business Development E: sroth@s3security.com  T: 972-338-9488","USA","English, Spanish"
"SRC Security Research & Consulting GmbH","www.src-gmbh.com","Germany","Thilo W.  Pannen Thilo.pannen@src-gmbh.de T  0049-228-2806-103","CEMEA, Europe","English, German, Polish, Russian"
"SSAE 16 Professionals, LLP","www.ssae16professionals.com","USA","Daniel Porter  Daniel.Porter@ssae16professionals.com t- 866-480-9485 x255","USA","English"
"Stickman Consulting","www.stickman.com.au","Australia, India","Ajay Unni (Australia) ajay.unni@stickman.com.au  T: +61 2 9146 4363  Clifford Fernandes (India)  clifford.fernandes@stickman.com.au  T: +91 97-38-838952","CEMEA, Asia Pacific","Arabic, Cantonese, English, Hindi, Kannada, Malyalam, Mandarin, Telugu"
"Stratica International PTY LTD","www.stratica.com.au","Australia","John Rundell John.rundell@stratica.com.au T  61 3 9660 5701","Australia","English, German, Hindi"
"Stroz Friedberg","www.strozllc.com","USA","Charles J. Dietzman cdietzman@strozfriedberg.com T: +1-347-283-4861","USA","English"
"Structured Communication Systems, Inc.","www.structured.com","USA","Robert Wayt rwayt@structured.com T- 1-503-513-9979","USA","English"
"Sungard Availability Services","www.sungardas.com","USA","Richard Hahn richard.hahn@sungardas.com  (206) 579-5397","USA","English, German, Swedish"
"Sword & Shield Enterprise Security, Inc.","swordshield.com/pci-compliance-services/","USA","Jack Dempsey jjd@swordshield.com","Canada, LAC, USA","English"
"Sylint Group","www.usinfosec.com","USA","Hillary McNeil pci@usinfosec.com T-1-(941) 951-6015","USA","English, Spanish"
"SynerComm, Inc","www.synercomm.com","USA","Brian Judd brian.judd@synercomm.com 1-262-373-7100","USA","English"
"Sysdream","www.sysdream.com","France","Oliver Franchi pci@sysdream.com T-33-178765-803","Europe","French, English"
"Sysnet Limited, dba Sysnet Global Solutions","www.sysnetgs.com","Ireland, South Africa, UK, Ukraine, USA, Latvia, Hungary, Lithuania, Romania, Slovakia, Bulgaria, Belarus, Croatia, Moldova, Russia, Slovenia, Albania, Bosnia-Herzegovina, Kosovo, Macedonia, Montenegro, Serbia, Austria, Belgium, Czech Republic, Denmark, Finland, France, Germany, Greece, Italy, Luxembourg, Netherlands, Norway, Poland, Portugal, Spain, Sweden, Ghana, Bahrain, Brazil, Canada, Egypt, Kuwait, Mexico, Nigeria, Qatar, Saudi Arabia, UAE, Ivory Coast, Mauritius","UK &amp; Ireland Chris Thompson   Chris.thompson@sysnetgs.com +44 (0) 7540 626 411   Western Europe James Devoy   James.Devoy@sysnetgs.com +44 (0)771 7777147  Central and Eastern Europe Krzysztof Olejniczak   krzysztof.olejniczak@sysnetgs.com +48 662 395 468  Middle East and Africa  Duncan Du Plessis  duncan.duplessis@sysnetgs.com +27 (0)83 629 7514  India  Parminder Lall Parminder.lall@sysnetgs.com +44 (0)7432 730425  USA and The Americas Jeff Montgomery jeff.montgomery@sysnetgs.com +1 (214) 659 1434  Mauritius and Indian Ocean Ashvin Dookhee Ashvin.dookhee@sysnetgs.com +230 5252 4708","CEMEA, LAC, USA, Europe","English, Finnish, French, German, Hindi, Polish, Russian, Serbian, Ukranian, Portuguese, Spanish"
"SystemExperts Corporation","www.systemexperts.com","USA","Jonathan Gossels Jon.gossels@systemexperts.com T-978-440-9388","USA","English"
"Tangible Software, Inc. (dba Tangible Security, Inc.)","www.tangiblesecurity.com","USA","Paul Hoppenjans phoppenjans@tangiblesecurity.com T: +1-800-913-9901 x1015","USA","English"
"Teamwork IMS","www.teamworkims.co.uk","UK","Bob Brown Bob.brown@teamworkims.co.uk T-44-7774277057","Europe","English"
"Tech Lock Incorporated","www.techlockinc.com","USA","Michael Wright mwright@techlockinc.com T: 847-245-3727","USA","English"
"Telstra Corporation Ltd","www.telstra.com.au/business-enterprise/solutions/security-services/security-consulting","Australia","David Ross  David.Ross.3@team.telstra.com T- +61 (0)7 3455 4611","Australia","English"
"TELUS Security Solutions","www.telus.com/pci","Canada","Kim Schreader Kim.schreader@telus.com M: 613-809-3681","Canada","English, French"
"Terra Verde LLC","www.terraverdeservices.com","USA","Edward Vasko  PCI@terraverdeservices.com T-877-707-7997 X4","USA","English"
"Tevora Business Solutions, Inc.","www.tevora.com","USA, Brazil","Ray Zadjmool (USA) cisp@tevora.com T: (949)250.3290 ext.11 Eduardo Machado (LAC) cisp@tevora.com T: (11) 3063 6111","Europe, LAC, USA","English, Portuguese, Spanish"
"Thales Transport & Security (Hong Kong) Ltd.","www.thales-esecurity.com","Hong Kong, China, Indonesia, Malaysia, Singapore, Thailand","Henry Ng henry.ng@thales-esecurity.com T- 852-2534-6625","Asia Pacific","English, Chinese (Cantonese), Chinese (Mandarin), Bahasa (Malaya/Indonesian)"
"The Herjavec Group Inc.","www.herjavecgroup.com","Canada","Bob Steadman Rsteadman@herjavecgroup.com 416-488-1272","USA, Canada","English"
"Three Factor, LLC","www.3factor.com","USA","Spyro Malaspinas spyro@3factor.com 520-250-7777","USA","English, Spanish"
"Triskele Labs","www.triskelelabs.com","Australia","Nick Morgan  Nick.morgan@triskelelabs.com T- +61421489301 T- +1300743443","Australia","English"
"True Digital Security, Inc.","www.truedigitalsecurity.com","USA","Jerald Dawkins jdawkins@truedigitalsecurity.com T - 918-770-7700 x101","USA","English"
"TruShield Security Solutions, Inc.","www.trushieldinc.com","USA","Robert Smith  pci@trushieldinc.com T: +1-877-583-2841 ext 1","USA","English"
"TrustedSec, LLC","www.trustedsec.com","USA","Justin Leapline pci@trustedsec.com","USA","English"
"Trustnet","www.trustnetinc.com","USA","Trevor Horwitz trevor.horwitz@trustnetinc.com T- 678-296-3814","USA","English"
"Trustwave Holdings, Inc.","www.trustwave.com","Australia, Brazil, Canada, China, India, Ireland, Singapore, South Africa, Sweden, UK, USA, France, Russia, Bangladesh, Hong Kong, Indonesia, Japan, Korea, Macau, Malaysia, Nepal, New Zealand, Pakistan, Philippines, Sri Lanka, Taiwan, Thailand, Vietnam, Mongolia, Poland, Ukraine, Belarus, Kazakhstan, Kyrgyzstan, Tajikistan, Turkmenistan, Uzbekistan, Armenia, Azerbaijan, Moldova, Germany, Georgia, Austria, Czech Republic, Hungary, Switzerland, Slovakia, Argentina, Bahrain, Belgium, Bulgaria, Chile, Colombia, Costa Rica, Croatia, Denmark, Dominican Republic, Ecuador, Estonia, Finland, Greece, Guatemala, Israel, Italy, Jordan, Kuwait, Latvia, Lebanon, Lithuania, Luxembourg, Macedonia, Mexico, Montenegro, Netherlands, Norway, Oman, Panama, Paraguay, Peru, Portugal, Puerto Rico, Qatar, Romania, Saudi Arabia, Serbia, Slovenia, South Korea, Spain, Turkey, UAE, Uruguay, Bermuda, Burma, Honduras, Jamaica, Nicaragua, Trinidad","infosales@trustwave.com (USA and Canada)   T +1 (888) 878-7817   infosales@trustwave.com (Europe, Middle East, Africa)   T +44 (0) 845 456 9611   infosales@trustwave.com (Latin America)   T +55 (11) 4064-6101   infosales@trustwave.com (Australia &amp; New Zealand) T: +61 (0) 2 9236 4200  infosales@trustwave.com (Colombia) +57 (1) 658 5928  infosales@trustwave.com (India + Sub continent)   T: +91 22 4090 7358    infosales@trustwave.com (Mexico)   T: +52 (55) 3600 7525  infosales@trustwave.com (North Asia)   T: +852 2251 8924  infosales@trustwave.com (Southeast Asia) T: +65 6823 1516","Asia Pacific, CEMEA, Canada, LAC, USA, Europe","Afrikaans, English, French, German, Greek, Hindi, Hungarian, Italian, Japanese, Korean, Portuguese, Russian, Spanish, Swedish, Taiwanese, Urdu, Polish, Icelandic, Bahasa (Malaya/Indonesian), Cantonese, Kannada, Latvian, Mandarin, Marathi, Norwegian, Romanian, Telugu, Xhosa, Zulu"
"Truvantis, Inc.","www.truvantis.com","USA","Andy Cottrell andy.cottrell@truvantis.com T-415-422-9844","USA","English"
"TUV Rheinland Indonesia, PT","www.tuv.com","Asia Pacific, Australia, India, Indonesia, Japan, Malaysia, Philippines, Singapore, Taiwan, Thailand, Cambodia, China, Hong Kong, Korea, Oman, Russia, Saudi Arabia, UAE, Vietnam","Abdul Qohar abdul.qohar@tuv.com  + 62 21 8379 5571","Asia Pacific","Chinese, English, French, German, Japanese, Korean, Spanish"
"TUV SUD Sec-IT GmbH","www.tuev-sued.de","Germany, Switzerland","Peter Sakal pci@tuev-sued.de T-49-711-787464-0","CEMEA, Europe","English, German"
"Ubitrak","www.ubitrak.com","Canada","Christian Richard  crichard@ubitrak.com T-1-514-999-9657","Canada","English, French Canadian"
"UHY LLP","www.uhy-us.com","USA","David A. King, II dking@uhy-us.com T - 678 602 4435","USA","English"
"UL Transaction Security PTY Ltd.","www.ul-ts.com","Asia, Japan, Australia, China, New Zealand, Hong Kong, Singapore, South Korea","Shimul Noor shimul.noor@ul.com T: +61 3 8592 1215","Asia Pacific","Cantonese, English, Japanese, Mandarin, Korean"
"Ultima Risk Management LTD","www.ultimariskmanagement.com","UK","Geraint Williams T-44-118-9027450 gwilliams@ultimariskmanagement.com","Europe","English"
"United Data Technologies, Inc.","udtonline.com/","USA","Mike Sanchez Mike.Sanchez@udtonline.com T: +1-786-364-6072","LAC, USA, Canada","English, Portuguese, Spanish"
"Urbane Security","www.urbanesecurity.com","USA","Erin Jacobs QSA@urbanesecurity.com T-1-312-970-0317","Europe, USA","English"
"usd AG","www.usd.de","Germany","Christopher Kristes pci@usd.de T +49 6102 8631-90","CEMEA, USA, Europe","English, German, French, Polish, Russian, Spanish"
"Vaco Risk Solutions","www.vaco.com","USA","Brian Prentice pci@vaco.com 901-333-2250","Canada, LAC, USA","English, Mandarin, Spanish"
"ValueMentor InfoSec Private Limited","www.valuementor.com/","India, UAE, Abu-Dhabi, Africa, Bahrain, Central Europe, Dubai, Eastern Europe, Egypt, Kuwait, Oman, Qatar, Saudi Arabia, USA","Binoy  (USA) pci@valuementor.com  T:+1-409-210-9000   Vinod -  (GCC and Middle East)  pci@valuementor.com  T:+971-5-6757-3555  Jobbin -  (India) pci@valuementor.com  T: +91- 974 5767 949","USA, CEMEA","English, Hindi, Kannada, Malyalam, Tamil, Arabic"
"Vectra Corporation Ltd.","www.vectra-corp.com","Asia, Australia","Mike Ryan (Australia) Mike.Ryan@vectra-corp.com T  61-8-8208-0800","Asia Pacific","English"
"Vectra Information Security","www.VectraInfoSecurity.com","Singapore, Asia Pacific","Clara Lim Clara.Lim@vectrainfosecurity.com +65 9322 4008","Asia Pacific","English"
"Verizon/CyberTrust","www.verizonenterprise.com/products/security/security-professional-services/","Australia, Canada, China, Denmark, Finland, France, Germany, Hong Kong, Hungary, India, Indonesia, Ireland, Italy, Japan, Luxembourg, Malaysia, Netherlands, Norway, Philippines, Saudi Arabia, Singapore, South Korea, Sweden, Taiwan, Thailand, UAE, UK, USA, Vietnam, Spain","Eric Jolent (CEMEA)   eric.jolent@intl.verizon.com   +43 1 727 14 8662  Ronald Tosto (USA, Canada, LAC) ronald.tosto@one.verizon.com +1 415 683 9734 Sébastien Mazas (Asia, Australia, New-Zealand, Africa, Eastern Europe)   sebastien.mazas@verizon.com  Tel: +61 (0) 424 295 489   Gabriel Leperlier (France, Italy, Spain)   gabriel.leperlier@intl.verizon.com   +33 6 13 43 04 72   Ian White (UK, Ireland, Middle-East)   ian.white@intl.verizon.com   +44 118 905 7177  Rein van Koten (Nordics, Netherlands, Germany, Austria, Luxemburg, Switzerland, Belgium)  Rein.vankoten@nl.verizon.com + 31 655 787 495","CEMEA, Canada, Europe, LAC, USA, Asia Pacific","Afrikaans, Arabic, Cantonese, Chinese, Dutch, English, Finnish, French, German, Hebrew, Indian, Indonesian, Italian, Japanese, Korean, Malaysian, Chinese (Mandarin), Portuguese, Romanian, Russian, Spanish, Turkish"
"Versatile Solutions Ltd. (VERSOS)","www.versos.com.sa/","Jordan, Saudi Arabia, Bahrain, Kuwait, Oman, Qatar, Saudi Arabia, UAE","Ahmed Abdelaziz   pci-qsa@versos.com.sa T: +966 5530 53845","CEMEA","Arabic, English"
"VISTA InfoSec Private Limited","www.vistainfosec.com/","Canada, Dubai, India, Oman, Singapore, Thailand, USA","Narendra S Sahoo narendra.sahoo@vistainfosec.com M:+91-9820223497","Asia Pacific","Arabic, Chinese, English, Hindi, Japanese, Korean, Russian"
"VOC Consultancy","www.voc-consultancy.nl","Netherlands","Richard van Oeffel rvanoeffel@voc-consultancy.nl T  31-63-011-6367","Europe, CEMEA","Dutch, English, Bosnian, Croatian, Montenegro, Serbian"
"Ward Solutions Limited","www.ward.ie/","Ireland","Pat Larkin pat.larkin@ward.ie","Europe","English"
"Weaver and Tidwell, L.L.P.","www.weaver.com","USA","Brian Thomas  brian.thomas@weaver.com  T- 713-800-1050","Asia Pacific, Canada, Europe, LAC, USA","English"
"Websolv Computing, Inc dba ecfirst.com","www.ecfirst.com","USA","Ben Miller Ben.Miller@ecfirst.com T- 515-661-2381","USA","English"
"WestNet Consulting Services, Inc.","www.cfila.com","USA","Vardan Balyan vardan@westnet.la T-+1-818 288 8282","USA","Armenian, English, Russian"
"Wolf & Company, P.C.","www.wolfandco.com","USA","Michael Kanarellis mkanarellis@wolfandco.com T +1 (617) 428-5408","USA","English"
"Worldline International (Malaysia) Sdn. Bhd.","www.worldline.com","Malaysia, Indonesia","James Ng james.ng@worldline.com T-603-2084-5503","Asia Pacific","Cantonese, English, Malay, Mandarin, Indonesian"
"Xcina Consulting Limited","www.xcina.co.uk/consulting/","UK","Sarah Hunt sarah.hunt@xcina.co.uk T: +44 (0)20 3102 7620","Europe","English, Arabic, Greek"
"XMCO Partners","www.xmco.fr","France","Julien Meyer julien.meyer@xmco.fr T: +33 (0)1 47 34 68 61","Australia, Taiwan, Europe","English, French"
"Xynexis International","www.xynexis.com","Indonesia","Eva Noor eva.noor@xynexis.com T-62-21-39834116","Indonesia",""
"Zacco A/S","www.zacco.com","Denmark, Sweden","Pierr Davidsson pierre.davidsson@zacco.com T: +46 709 45 63 54","Europe","Danish, English, German, Norwegian, Swedish"

